bins	bw_factor	scale_max_percentile	n_colors	row
200	16	percentile_90	6	677
200	16	percentile_90	7	678
200	16	percentile_90	8	679
200	16	percentile_90	9	680
200	16	percentile_90	10	681
200	16	percentile_90	11	682
200	16	percentile_95	1	683
200	16	percentile_95	2	684
200	16	percentile_95	3	685
200	16	percentile_95	4	686
200	16	percentile_95	5	687
200	16	percentile_95	6	688
200	16	percentile_95	7	689
200	16	percentile_95	8	690
200	16	percentile_95	9	691
200	16	percentile_95	10	692
200	16	percentile_95	11	693
400	4	percentile_75	1	694
400	4	percentile_75	2	695
400	4	percentile_75	3	696
400	4	percentile_75	4	697
400	4	percentile_75	5	698
400	4	percentile_75	6	699
400	4	percentile_75	7	700
400	4	percentile_75	8	701
400	4	percentile_75	9	702
400	4	percentile_75	10	703
400	4	percentile_75	11	704
400	4	percentile_90	1	705
400	4	percentile_90	2	706
400	4	percentile_90	3	707
400	4	percentile_90	4	708
400	4	percentile_90	5	709
400	4	percentile_90	6	710
400	4	percentile_90	7	711
400	4	percentile_90	8	712
400	4	percentile_90	9	713
400	4	percentile_90	10	714
400	4	percentile_90	11	715
400	4	percentile_95	1	716
400	4	percentile_95	2	717
400	4	percentile_95	3	718
400	4	percentile_95	4	719
400	4	percentile_95	5	720
400	4	percentile_95	6	721
400	4	percentile_95	7	722
400	4	percentile_95	8	723
400	4	percentile_95	9	724
400	4	percentile_95	10	725
400	4	percentile_95	11	726
400	6	percentile_75	1	727
400	6	percentile_75	2	728
400	6	percentile_75	3	729
400	6	percentile_75	4	730
400	6	percentile_75	5	731
400	6	percentile_75	6	732
400	6	percentile_75	7	733
400	6	percentile_75	8	734
400	6	percentile_75	9	735
400	6	percentile_75	10	736
400	6	percentile_75	11	737
400	6	percentile_90	1	738
400	6	percentile_90	2	739
400	6	percentile_90	3	740
400	6	percentile_90	4	741
400	6	percentile_90	5	742
400	6	percentile_90	6	743
400	6	percentile_90	7	744
400	6	percentile_90	8	745
400	6	percentile_90	9	746
400	6	percentile_90	10	747
400	6	percentile_90	11	748
400	6	percentile_95	1	749
400	6	percentile_95	2	750
400	6	percentile_95	3	751
400	6	percentile_95	4	752
400	6	percentile_95	5	753
400	6	percentile_95	6	754
400	6	percentile_95	7	755
400	6	percentile_95	8	756
400	6	percentile_95	9	757
400	6	percentile_95	10	758
400	6	percentile_95	11	759
400	8	percentile_75	1	760
400	8	percentile_75	2	761
400	8	percentile_75	3	762
400	8	percentile_75	4	763
400	8	percentile_75	5	764
400	8	percentile_75	6	765
400	8	percentile_75	7	766
